[7539.688554	7311.088554	7234.888554	7158.688554	5710.888554	3577.288554	2662.888554	2358.088554	2175.208554	2114.248554	1992.328554	1931.368554	1839.928554	1748.488554	1519.888554	1443.688554	1343.104554	1239.472554	1138.888554	1035.256554	934.6725536	834.0885536	733.5045536
7522.750864	7294.150864	7217.950864	7141.750864	5693.950864	3560.350864	2645.950864	2341.150864	2158.270864	2097.310864	1975.390864	1914.430864	1822.990864	1731.550864	1502.950864	1426.750864	1326.166864	1222.534864	1121.950864	1018.318864	917.7348639	817.1508639	716.5668639
7505.813174	7277.213174	7201.013174	7124.813174	5677.013174	3543.413174	2629.013174	2324.213174	2141.333174	2080.373174	1958.453174	1897.493174	1806.053174	1714.613174	1486.013174	1409.813174	1309.229174	1205.597174	1105.013174	1001.381174	900.7971742	800.2131742	699.6291742
7488.875484	7260.275484	7184.075484	7107.875484	5660.075484	3526.475484	2612.075484	2307.275484	2124.395484	2063.435484	1941.515484	1880.555484	1789.115484	1697.675484	1469.075484	1392.875484	1292.291484	1188.659484	1088.075484	984.4434844	883.8594844	783.2754844	682.6914844
7471.937795	7243.337795	7167.137795	7090.937795	5643.137795	3509.537795	2595.137795	2290.337795	2107.457795	2046.497795	1924.577795	1863.617795	1772.177795	1680.737795	1452.137795	1375.937795	1275.353795	1171.721795	1071.137795	967.5057947	866.9217947	766.3377947	665.7537947
7455.000105	7226.400105	7150.200105	7074.000105	5626.200105	3492.600105	2578.200105	2273.400105	2090.520105	2029.560105	1907.640105	1846.680105	1755.240105	1663.800105	1435.200105	1359.000105	1258.416105	1154.784105	1054.200105	950.568105	849.984105	749.400105	648.816105
7438.062415	7209.462415	7133.262415	7057.062415	5609.262415	3475.662415	2561.262415	2256.462415	2073.582415	2012.622415	1890.702415	1829.742415	1738.302415	1646.862415	1418.262415	1342.062415	1241.478415	1137.846415	1037.262415	933.6304152	833.0464152	732.4624152	631.8784152
7421.124725	7192.524725	7116.324725	7040.124725	5592.324725	3458.724725	2544.324725	2239.524725	2056.644725	1995.684725	1873.764725	1812.804725	1721.364725	1629.924725	1401.324725	1325.124725	1224.540725	1120.908725	1020.324725	916.6927255	816.1087255	715.5247255	614.9407255
7404.187036	7175.587036	7099.387036	7023.187036	5575.387036	3441.787036	2527.387036	2222.587036	2039.707036	1978.747036	1856.827036	1795.867036	1704.427036	1612.987036	1384.387036	1308.187036	1207.603036	1103.971036	1003.387036	899.7550358	799.1710358	698.5870358	598.0030358
7387.249346	7158.649346	7082.449346	7006.249346	5558.449346	3424.849346	2510.449346	2205.649346	2022.769346	1961.809346	1839.889346	1778.929346	1687.489346	1596.049346	1367.449346	1291.249346	1190.665346	1087.033346	986.449346	882.817346	782.233346	681.649346	581.065346
7370.311656	7141.711656	7065.511656	6989.311656	5541.511656	3407.911656	2493.511656	2188.711656	2005.831656	1944.871656	1822.951656	1761.991656	1670.551656	1579.111656	1350.511656	1274.311656	1173.727656	1070.095656	969.5116563	865.8796563	765.2956563	664.7116563	564.1276563
7353.373967	7124.773967	7048.573967	6972.373967	5524.573967	3390.973967	2476.573967	2171.773967	1988.893967	1927.933967	1806.013967	1745.053967	1653.613967	1562.173967	1333.573967	1257.373967	1156.789967	1053.157967	952.5739666	848.9419666	748.3579666	647.7739666	547.1899666
7336.436277	7107.836277	7031.636277	6955.436277	5507.636277	3374.036277	2459.636277	2154.836277	1971.956277	1910.996277	1789.076277	1728.116277	1636.676277	1545.236277	1316.636277	1240.436277	1139.852277	1036.220277	935.6362768	832.0042768	731.4202768	630.8362768	530.2522768
7319.498587	7090.898587	7014.698587	6938.498587	5490.698587	3357.098587	2442.698587	2137.898587	1955.018587	1894.058587	1772.138587	1711.178587	1619.738587	1528.298587	1299.698587	1223.498587	1122.914587	1019.282587	918.6985871	815.0665871	714.4825871	613.8985871	513.3145871
7302.560897	7073.960897	6997.760897	6921.560897	5473.760897	3340.160897	2425.760897	2120.960897	1938.080897	1877.120897	1755.200897	1694.240897	1602.800897	1511.360897	1282.760897	1206.560897	1105.976897	1002.344897	901.7608974	798.1288974	697.5448974	596.9608974	496.3768974
7285.623208	7057.023208	6980.823208	6904.623208	5456.823208	3323.223208	2408.823208	2104.023208	1921.143208	1860.183208	1738.263208	1677.303208	1585.863208	1494.423208	1265.823208	1189.623208	1089.039208	985.4072076	884.8232076	781.1912076	680.6072076	580.0232076	479.4392076
7268.685518	7040.085518	6963.885518	6887.685518	5439.885518	3306.285518	2391.885518	2087.085518	1904.205518	1843.245518	1721.325518	1660.365518	1568.925518	1477.485518	1248.885518	1172.685518	1072.101518	968.4695179	867.8855179	764.2535179	663.6695179	563.0855179	462.5015179
7251.747828	7023.147828	6946.947828	6870.747828	5422.947828	3289.347828	2374.947828	2070.147828	1887.267828	1826.307828	1704.387828	1643.427828	1551.987828	1460.547828	1231.947828	1155.747828	1055.163828	951.5318281	850.9478281	747.3158281	646.7318281	546.1478281	445.5638281
7234.810138	7006.210138	6930.010138	6853.810138	5406.010138	3272.410138	2358.010138	2053.210138	1870.330138	1809.370138	1687.450138	1626.490138	1535.050138	1443.610138	1215.010138	1138.810138	1038.226138	934.5941384	834.0101384	730.3781384	629.7941384	529.2101384	428.6261384
7217.872449	6989.272449	6913.072449	6836.872449	5389.072449	3255.472449	2341.072449	2036.272449	1853.392449	1792.432449	1670.512449	1609.552449	1518.112449	1426.672449	1198.072449	1121.872449	1021.288449	917.6564487	817.0724487	713.4404487	612.8564487	512.2724487	411.6884487
